PAZCenter	PAZAverage	PAArea	PAVolume	PAPerimeter	PALength	PAWidth	PAMaxDistance	PACEDiameter	PACircularity	PARectangularity	PAConvexity	PASolidity	PAMajorAngle	PAAspectRatio	PAElongation	PAHullPerimeter
3.60285e-09	2.68963e-09	8.04225e-17	2.16307e-25	3.34072e-08	1.06788e-08	9.97705e-09	1.14109e-08	1.01191e-08	0.90554	0.694444	0.961751	1.10526	100.329	0.934282	0.065718	3.21294e-08
2.50317e-09	2.38563e-09	4.21261e-17	1.00497e-25	2.51046e-08	9.7328e-09	7.04789e-09	9.78474e-09	7.3237e-09	0.839954	0.85	0.986113	1.04762	149.036	0.724138	0.275862	2.47559e-08
2.82468e-09	2.58871e-09	2.29779e-17	5.94831e-26	2.00443e-08	8.01734e-09	4.35141e-09	8.0687e-09	5.40891e-09	0.718683	0.666667	0.965215	1.09091	159.495	0.54275	0.45725	1.93471e-08
6.69695e-09	4.6216e-09	4.44238e-16	2.05309e-24	8.57123e-08	2.9923e-08	1.99487e-08	2.99355e-08	2.37828e-08	0.759871	0.681818	0.914512	1.03571	167.035	0.666667	0.333333	7.8385e-08
2.82904e-09	2.5675e-09	6.12743e-17	1.57322e-25	3.61747e-08	1.06302e-08	8.37296e-09	1.14109e-08	8.83271e-09	0.588407	0.8	0.89674	0.888889	80.3533	0.78766	0.21234	3.24393e-08
2.43943e-09	2.40774e-09	5.74446e-17	1.38312e-25	3.22608e-08	9.93038e-09	7.8218e-09	1.05385e-08	8.55224e-09	0.693599	0.566667	0.908376	1.2	92.2423	0.787663	0.212337	2.9305e-08
2.43865e-09	2.31962e-09	3.44668e-17	7.995e-26	2.55794e-08	8.74709e-09	6.96918e-09	8.75173e-09	6.62454e-09	0.661958	0.75	0.936621	0.947368	155.301	0.796743	0.203257	2.39582e-08
3.91859e-09	3.38042e-09	1.60845e-16	5.43723e-25	5.06839e-08	1.78382e-08	1.19809e-08	1.80422e-08	1.43106e-08	0.786822	0.742857	0.963549	0.965517	176.095	0.671647	0.328353	4.88365e-08
3.93708e-09	3.08986e-09	1.72334e-16	5.32488e-25	4.72449e-08	1.59688e-08	1.28761e-08	1.67202e-08	1.48129e-08	0.970222	0.680556	0.970484	1.125	142.203	0.806329	0.193671	4.58504e-08
4.46944e-09	3.42208e-09	2.1446e-16	7.33898e-25	5.39263e-08	1.82489e-08	1.4253e-08	1.85652e-08	1.65245e-08	0.926733	0.677778	0.958534	1.07692	150.973	0.781032	0.218968	5.16902e-08
3.47531e-09	3.41023e-09	4.94024e-16	1.68474e-24	1.34104e-07	3.92478e-08	1.59082e-08	3.93342e-08	2.50801e-08	0.345205	0.708995	1.77549	1.28358	1.91333	0.405327	0.594673	2.38099e-07
2.57556e-09	2.53206e-09	6.89336e-17	1.74544e-25	3.61747e-08	1.14099e-08	8.7339e-09	1.19036e-08	9.36851e-09	0.661958	0.628571	0.872531	1.05882	149.777	0.765466	0.234534	3.15636e-08
6.85616e-09	4.44222e-09	4.21261e-16	1.87133e-24	8.57123e-08	2.79771e-08	1.99402e-08	2.80192e-08	2.31596e-08	0.720567	0.739394	0.898509	0.982143	171.046	0.71273	0.28727	7.70133e-08
4.91428e-09	3.81825e-09	2.41267e-16	9.2122e-25	5.78402e-08	2.15556e-08	1.47979e-08	2.16152e-08	1.75269e-08	0.906252	0.71875	0.973709	1.07692	170.55	0.6865	0.3135	5.63195e-08
2.58121e-09	2.33274e-09	1.14889e-17	2.68007e-26	1.72768e-08	8.05662e-09	2.66178e-09	8.0687e-09	3.82468e-09	0.483687	0.8	1	1	169.099	0.330385	0.669615	1.72768e-08
2.25259e-09	2.20846e-09	1.53186e-17	3.38304e-26	1.45092e-08	5.35812e-09	3.67148e-09	5.53508e-09	4.41636e-09	0.914407	0.777778	0.975972	1.33333	59.5273	0.685218	0.314782	1.41606e-08
2.66933e-09	2.37716e-09	1.91482e-17	4.55183e-26	2.04187e-08	6.99243e-09	4.37565e-09	7.05587e-09	4.93764e-09	0.577138	0.666667	0.846123	1.25	63.9994	0.625771	0.374229	1.72768e-08
2.40374e-09	2.49015e-09	4.97853e-17	1.23973e-25	4.31919e-08	1.16913e-08	8.33749e-09	1.17417e-08	7.9617e-09	0.335356	0.457143	0.747218	0.896552	5.30983	0.713137	0.286863	3.22738e-08
3.41945e-09	2.73201e-09	1.30208e-16	3.5573e-25	4.05634e-08	1.41789e-08	1.22538e-08	1.42468e-08	1.28758e-08	0.994437	0.642857	0.977361	1.19298	100.349	0.864227	0.135773	3.96451e-08
2.79568e-09	2.68645e-09	8.04225e-17	2.16051e-25	3.66496e-08	1.30751e-08	8.71674e-09	1.31276e-08	1.01191e-08	0.752402	0.571429	0.930709	1.13514	148.309	0.666667	0.333333	3.41101e-08
4.87445e-09	3.61582e-09	3.1786e-16	1.14933e-24	6.95819e-08	2.42433e-08	1.84135e-08	2.47536e-08	2.01175e-08	0.824999	0.692308	0.938922	1.03106	6.78053	0.75953	0.24047	6.5332e-08
2.92888e-09	2.57362e-09	6.51039e-17	1.67553e-25	3.3882e-08	1.05355e-08	9.76563e-09	1.05385e-08	9.10455e-09	0.712654	0.583333	0.884867	1.0303	23.1661	0.926927	0.0730729	2.99811e-08
3.40231e-09	2.75807e-09	1.034e-16	2.85186e-25	4.00886e-08	1.31096e-08	1.13159e-08	1.36986e-08	1.1474e-08	0.808518	0.6875	0.95041	1.03846	156.434	0.863174	0.136826	3.81006e-08
2.68543e-09	2.50546e-09	4.97853e-17	1.24735e-25	2.67257e-08	9.78474e-09	5.87084e-09	9.78474e-09	7.9617e-09	0.875895	0.75	0.973911	1.08333	180	0.6	0.4	2.60285e-08
3.6634e-09	3.10564e-09	1.60845e-16	4.99527e-25	4.677e-08	1.52724e-08	1.33619e-08	1.57774e-08	1.43106e-08	0.924021	0.78125	0.975767	1.03704	142.452	0.874907	0.125093	4.56366e-08
2.86071e-09	2.52972e-09	4.21261e-17	1.06567e-25	2.16655e-08	8.05957e-09	6.14062e-09	8.0687e-09	7.3237e-09	1.12778	0.65	0.983909	1.375	168.69	0.761905	0.238095	2.13169e-08
2.51557e-09	2.49931e-09	5.3615e-17	1.34e-25	3.22608e-08	1.08791e-08	8.1593e-09	1.14109e-08	8.26225e-09	0.647359	0.633333	0.921282	0.933333	124.338	0.75	0.25	2.97213e-08
3.52375e-09	2.90851e-09	1.76164e-16	5.12374e-25	5.73654e-08	1.90402e-08	1.33704e-08	1.92737e-08	1.49766e-08	0.672707	0.771429	0.894152	1.01099	15.0358	0.702218	0.297782	5.12934e-08
3.21411e-09	2.68805e-09	8.42521e-17	2.26474e-25	3.77959e-08	1.23768e-08	1.05203e-08	1.23768e-08	1.03573e-08	0.741142	0.666667	0.908329	1.02326	108.435	0.85	0.15	3.43311e-08
2.71233e-09	2.48293e-09	3.44668e-17	8.55785e-26	2.28118e-08	8.71449e-09	6.01949e-09	8.75173e-09	6.62454e-09	0.832319	0.75	1	1	148.147	0.690745	0.309255	2.28118e-08
