PAZCenter	PAZAverage	PAArea	PAVolume	PAPerimeter	PALength	PAWidth	PAMaxDistance	PACEDiameter	PACircularity	PARectangularity	PAConvexity	PASolidity	PAMajorAngle	PAAspectRatio	PAElongation	PAHullPerimeter
3.26062e-09	2.73293e-09	4.36866e-17	1.19392e-25	2.8293e-08	1.07934e-08	8.09506e-09	1.07934e-08	7.45812e-09	0.685805	0.888889	1	0.857143	135	0.75	0.25	2.8293e-08
2.87258e-09	2.61414e-09	2.91244e-17	7.61353e-26	2.28963e-08	7.63209e-09	3.81605e-09	8.53294e-09	6.08953e-09	0.698132	1	1	1	180	0.5	0.5	2.28963e-08
3.03613e-09	2.90614e-09	1.16498e-16	3.38559e-25	3.6851e-08	1.14481e-08	1.14481e-08	1.20674e-08	1.21791e-08	1.07802	0.75	1	1.14286	180	1	0	3.6851e-08
2.1392e-09	2.95126e-09	1.45622e-17	4.29769e-26	1.52642e-08	3.81605e-09	3.81605e-09	5.39671e-09	4.30595e-09	0.785398	1	1	1	90	1	0	1.52642e-08
2.97365e-09	2.62382e-09	5.82489e-17	1.52835e-25	3.14543e-08	1.15831e-08	8.44661e-09	1.20674e-08	8.6119e-09	0.739839	0.666667	0.978387	1	145.278	0.729217	0.270783	3.07745e-08
2.17106e-09	2.4754e-09	1.45622e-17	3.60473e-26	1.52642e-08	3.81605e-09	3.81605e-09	5.39671e-09	4.30595e-09	0.785398	1	1	1	90	1	0	1.52642e-08
2.57914e-09		0	0	1.30288e-08	5.39671e-09	2.69835e-09	5.39671e-09	0	0	0.75	1	0	135	0.5	0.5	1.30288e-08
2.66608e-09	2.48113e-09	5.82489e-17	1.44523e-25	2.60576e-08	7.63209e-09	7.63209e-09	8.53294e-09	8.6119e-09	1.07802	0.777778	1	1.33333	90	1	0	2.60576e-08
2.44362e-09	2.44362e-09	1.45622e-17	3.55846e-26	1.30288e-08	5.39671e-09	2.69835e-09	5.39671e-09	4.30595e-09	1.07802	0.75	1	2	135	0.5	0.5	1.30288e-08
2.59697e-09	2.59697e-09	1.45622e-17	3.78177e-26	1.30288e-08	5.39671e-09	2.69835e-09	5.39671e-09	4.30595e-09	1.07802	0.75	1	2	135	0.5	0.5	1.30288e-08
3.14983e-09	2.87022e-09	1.01935e-16	2.92577e-25	3.90864e-08	1.34918e-08	1.07934e-08	1.3759e-08	1.13925e-08	0.838463	0.6875	0.965215	1.07692	135	0.8	0.2	3.77268e-08
3.89185e-09	3.20764e-09	1.89309e-16	6.07234e-25	4.76444e-08	1.6761e-08	1.21243e-08	1.70659e-08	1.55253e-08	1.04799	0.64	0.985732	1.2381	127.411	0.723362	0.276638	4.69646e-08
3.27146e-09	2.83196e-09	1.3106e-16	3.71157e-25	4.13218e-08	1.14481e-08	1.14481e-08	1.3759e-08	1.29178e-08	0.964543	0.875	1	1.125	180	1	0	4.13218e-08
6.1722e-09	4.23646e-09	3.20369e-16	1.35723e-24	6.38345e-08	2.22616e-08	1.71615e-08	2.32121e-08	2.01967e-08	0.987981	0.571429	0.968051	1.22222	154.085	0.770903	0.229097	6.17951e-08
2.18862e-09	2.14976e-09	2.91244e-17	6.26107e-26	2.28963e-08	7.63209e-09	3.81605e-09	8.53294e-09	6.08953e-09	0.698132	1	1	1	90	0.5	0.5	2.28963e-08
2.48295e-09	2.48295e-09	1.45622e-17	3.61572e-26	1.30288e-08	5.39671e-09	2.69835e-09	5.39671e-09	4.30595e-09	1.07802	0.75	1	2	135	0.5	0.5	1.30288e-08
2.07188e-09	2.11908e-09	1.45622e-17	3.08584e-26	5.39671e-09	5.39671e-09	0	5.39671e-09	4.30595e-09	6.28319	0.5	2	inf	45	0	1	1.07934e-08
2.62527e-09		0	0	1.30288e-08	5.39671e-09	2.69835e-09	5.39671e-09	0	0	0.75	1	0	135	0.5	0.5	1.30288e-08
